"days","eth"
"723","129.063889"
"724","126.454636"
"725","126.361221"
"726","127.214607"
"727","128.322708"
"728","134.75798"
"729","132.633484"
"730","129.610855"
"731","130.802002"
"732","127.410179"
"733","134.171707"
"734","135.069366"
"735","136.276779"
"736","144.304153"
"737","143.543991"
"738","141.258133"
"739","138.979202"
"740","143.963776"
"741","142.927109"
"742","145.873932"
"743","144.226593"
"744","165.955353"
"745","166.230682"
"746","164.391006"
"747","170.779953"
"748","175.365677"
"749","166.969849"
"750","167.120514"
"751","169.697159"
"752","168.294159"
"753","162.928558"
"754","163.051178"
"755","161.283936"
"756","168.077103"
"757","170.930893"
"758","176.370316"
"759","175.050339"
"760","184.690475"
"761","180.160172"
"762","183.67395"
"763","188.617538"
"764","189.865067"
"765","189.250595"
"766","204.23024"
"767","212.339081"
"768","222.726059"
"769","223.146515"
"770","228.578568"
"771","223.522705"
"772","235.851196"
"773","265.406128"
"774","268.099243"
"775","284.217499"
"776","264.728577"
"777","259.894714"
"778","266.363434"
"779","281.94458"
"780","259.763977"
"781","257.949463"
"782","265.600616"
"783","262.331726"
"784","273.75415"
"785","265.216431"
"786","247.817596"
"787","225.680267"
"788","226.753387"
"789","226.760498"
"790","219.848511"
"791","218.970596"
"792","230.569778"
"793","224.47963"
"794","224.517975"
"795","229.268188"
"796","243.525299"
"797","237.853088"
"798","200.689056"
"799","201.986328"
"800","200.767242"
"801","194.86853"
"802","112.347122"
"803","133.201813"
"804","123.306023"
"805","125.214302"
"806","110.605873"
"807","113.942749"
"808","114.84227"
"809","136.593857"
"810","132.737167"
"811","132.81871"
"812","123.321152"
"813","134.911606"
"814","138.761444"
"815","136.195892"
"816","138.361557"
"817","133.937943"
"818","130.986496"
"819","125.583733"
"820","132.904541"
"821","133.593567"
"822","135.634552"
"823","142.029144"
"824","142.091309"
"825","145.219391"
"826","143.546646"
"827","169.13588"
"828","165.101944"
"829","172.641739"
"830","170.807144"
"831","158.412445"
"832","158.216019"
"833","161.142426"
"834","156.279556"
"835","157.59639"
"836","153.286896"
"837","172.157379"
"838","171.63858"
"839","186.914001"
"840","181.61496"
"841","172.297165"
"842","172.737701"
"843","182.599579"
"844","185.028671"
"845","189.236938"
"846","195.515305"
"847","197.317535"
"848","197.224716"
"849","198.41539"
"850","216.968231"
"851","207.602051"
"852","214.219101"
"853","215.325378"
"854","210.933151"
"855","208.174011"
"856","206.774399"
"857","204.055786"
"858","212.289413"
"859","212.991577"
"860","211.600128"
"861","188.599564"
"862","185.912842"
"863","189.3125"
"864","199.193283"
"865","202.949097"
"866","195.622665"
"867","200.677124"
"868","207.158691"
"869","214.525055"
"870","213.451111"
"871","210.096741"
"872","199.883606"
"873","207.169189"
"874","208.694397"
"875","202.370346"
"876","205.319748"
"877","201.902313"
"878","208.863434"
"879","219.840424"
"880","220.675125"
"881","242.345596"
"882","230.975708"
"883","246.99176"
"884","237.219055"
"885","244.179321"
"886","244.426392"
"887","241.221985"
"888","241.93132"
"889","245.167252"
"890","246.309906"
"891","244.911453"
"892","247.444946"
"893","231.702667"
"894","237.49321"
"895","238.908844"
"896","234.1147"
"897","229.928909"
"898","234.416168"
"899","233.028275"
"900","232.101166"
"901","227.13829"
"902","229.274261"
"903","228.989822"
"904","242.533188"
"905","244.142151"
"906","235.772461"
"907","232.944489"
"908","229.668045"
"909","222.959793"
"910","225.347168"
"911","228.19487"
"912","226.315002"
"913","231.113419"
"914","229.392197"
"915","225.38707"
"916","229.074112"
"917","227.664597"
"918","241.510223"
"919","239.075531"
"920","246.670013"
"921","243.015961"
"922","240.984985"
"923","239.458176"
"924","242.131699"
"925","239.604584"
"926","240.211487"
"927","238.423523"
"928","233.640884"
"929","232.773087"
"930","235.48381"
"931","238.487518"
"932","236.153168"
"933","245.016724"
"934","262.190643"
"935","274.689056"
"936","279.215424"
"937","304.056763"
"938","309.643616"
"939","321.514099"
"940","316.657257"
"941","318.190887"
"942","334.586639"
"943","345.554657"
"944","385.199707"
"945","370.671722"
"946","386.295166"
"947","389.875488"
"948","401.590576"
"949","394.961945"
"950","379.512848"
"951","393.987366"
"952","391.120453"
"953","395.887573"
"954","380.384064"
"955","391.02417"
"956","428.741791"
"957","437.397827"
"958","433.354919"
"959","433.786621"
"960","429.53125"
"961","423.669312"
"962","406.463776"
"963","416.439789"
"964","389.126343"
"965","395.835144"
"966","391.384491"
"967","408.144196"
"968","384.001038"
"969","386.466125"
"970","382.632629"
"971","395.874664"
"972","399.921478"
"973","428.395721"
"974","435.079742"
"975","477.05191"
"976","440.040497"
"977","385.671936"
"978","388.24115"
"979","335.260071"
"980","353.362274"
"981","352.673492"
"982","337.602112"
"983","351.110016"
"984","368.101898"
"985","374.695587"
"986","387.183105"
"987","365.570007"
"988","377.26886"
"989","364.839203"
"990","365.812286"
"991","389.019226"
"992","384.364532"
"993","385.544373"
"994","371.052826"
"995","341.786072"
"996","344.503174"
"997","321.116302"
"998","349.355591"
"999","352.183258"
"1000","355.488098"
"1001","357.438507"
"1002","355.159424"
"1003","359.757385"
"1004","359.937866"
"1005","353.205902"
"1006","346.238922"
"1007","346.522095"
"1008","352.57901"
"1009","353.956787"
"1010","340.815857"
"1011","341.808655"
"1012","350.766144"
"1013","365.590485"
"1014","370.96759"
"1015","375.142059"
"1016","387.731262"
"1017","381.190765"
"1018","379.484039"
"1019","377.441833"
"1020","366.229004"
"1021","368.855927"
"1022","378.213684"
"1023","379.935608"
"1024","369.136902"
"1025","392.189972"
"1026","413.77298"
"1027","409.766693"
"1028","412.457611"
"1029","406.217773"
"1030","393.888306"
"1031","403.99704"
"1032","388.650757"
"1033","386.730103"
"1034","382.819977"
"1035","386.590332"
"1036","396.358185"
"1037","383.156738"
"1038","387.602173"
"1039","402.141998"
"1040","414.067352"
"1041","454.719299"
"1042","435.713135"
"1043","453.554779"
"1044","444.163055"
"1045","449.679626"
"1046","462.960541"
"1047","461.00528"
"1048","474.626434"
"1049","460.149841"
"1050","447.559082"
"1051","459.940308"
"1052","480.360077"
"1053","479.48407"
"1054","471.630432"
"1055","509.744568"
"1056","549.486633"
"1057","558.068115"
"1058","608.454041"
"1059","603.897766"
"1060","570.686646"
"1061","518.801147"
"1062","517.493713"
"1063","538.229797"
"1064","575.758057"
"1065","614.842529"
"1066","587.324158"
"1067","598.352356"
"1068","616.70874"
"1069","569.354187"
"1070","596.595459"
"1071","601.908997"
"1072","591.843384"
"1073","554.827759"
"1074","573.479126"
"1075","559.678528"
"1076","545.797363"
"1077","568.567322"
"1078","589.663208"
"1079","586.011169"
"1080","589.355591"
"1081","636.181824"
"1082","642.868958"
"1083","654.811951"
"1084","659.297913"
"1085","638.290833"
"1086","609.817871"
"1087","634.854187"
"1088","583.7146"
"1089","611.607178"
"1090","626.410706"
"1091","635.835815"
"1092","682.642334"
"1093","730.397339"
"1094","731.520142"
"1095","751.618958"
"1096","737.803406"
"1097","730.367554"
"1098","774.534973"
"1099","975.50769"
"1100","1040.233032"
"1101","1100.006104"
"1102","1207.112183"
"1103","1225.678101"
"1104","1224.197144"
"1105","1281.077271"
"1106","1262.246704"
"1107","1090.145386"
"1108","1043.43457"
"1109","1130.73938"
"1110","1218.453003"
"1111","1171.834595"
"1112","1233.537598"
"1113","1230.172241"
"1114","1257.279541"
"1115","1377.295898"
"1116","1382.274048"
"1117","1121.570923"
"1118","1236.512207"
"1119","1230.990601"
"1120","1391.609375"
"1121","1324.414795"
"1122","1357.058105"
"1123","1253.187134"
"1124","1332.492188"
"1125","1382.522827"
"1126","1376.115479"
"1127","1314.986206"
"1128","1369.040527"
"1129","1515.193726"
"1130","1660.909546"
"1131","1594.762695"
"1132","1718.650879"
"1133","1677.846802"
"1134","1614.227783"
"1135","1746.616821"
"1136","1768.035034"
"1137","1744.243408"
"1138","1783.797974"
"1139","1843.532593"
"1140","1814.109863"
"1141","1805.084106"
"1142","1779.791016"
"1143","1781.067505"
"1144","1848.458252"
"1145","1937.449219"
"1146","1960.164795"
"1147","1919.534058"
"1148","1935.601074"
"1149","1781.99292"
"1150","1570.203979"
"1151","1626.575684"
"1152","1475.703735"
"1153","1446.033691"
"1154","1459.973145"
"1155","1416.04895"
"1156","1564.707642"
"1157","1492.608765"
"1158","1575.853149"
"1159","1541.914307"
"1160","1533.275024"
"1161","1654.741577"
"1162","1723.153809"
"1163","1834.727905"
"1164","1868.048828"
"1165","1799.16626"
"1166","1826.194946"
"1167","1772.102417"
"1168","1924.685425"
"1169","1854.564331"
"1170","1791.702271"
"1171","1806.971802"
"1172","1823.449341"
"1173","1782.855103"
"1174","1817.624146"
"1175","1812.634644"
"1176","1788.217041"
"1177","1691.333984"
"1178","1678.650146"
"1179","1593.413452"
"1180","1595.359253"
"1181","1702.842041"
"1182","1716.494629"
"1183","1691.355957"
"1184","1819.684937"
"1185","1846.033691"
"1186","1918.362061"
"1187","1977.276855"
"1188","2143.225586"
"1189","2028.422485"
"1190","2093.122803"
"1191","2107.887207"
"1192","2118.378906"
"1193","1971.077271"
"1194","2088.57373"
"1195","2072.108887"
"1196","2135.942139"
"1197","2157.656982"
"1198","2139.353271"
"1199","2299.187744"
"1200","2435.10498"
"1201","2519.116211"
"1202","2431.946533"
"1203","2344.89502"
"1204","2237.136963"
"1205","2166.188721"
"1206","2330.210938"
"1207","2364.751709"
"1208","2403.535156"
"1209","2363.586182"
"1210","2211.625732"
"1211","2316.05957"
"1212","2534.481689"
"1213","2662.865234"
"1214","2746.380127"
"1215","2756.876953"
"1216","2773.207031"
"1217","2945.892822"
"1218","2952.056152"
"1219","3431.086182"
"1220","3253.629395"
"1221","3522.783203"
"1222","3490.880371"
"1223","3484.729004"
"1224","3902.647705"
"1225","3928.844727"
"1226","3952.293945"
"1227","4168.701172"
"1228","3785.848633"
"1229","3715.148438"
"1230","4079.057373"
"1231","3638.12207"
"1232","3587.506104"
"1233","3282.397705"
"1234","3380.070068"
"1235","2460.679199"
"1236","2784.294189"
"1237","2430.621338"
"1238","2295.705566"
"1239","2109.579834"
"1240","2643.591064"
"1241","2706.628906"
"1242","2888.69873"
"1243","2736.488525"
"1244","2419.90625"
"1245","2279.51416"
"1246","2390.30542"
"1247","2714.945313"
"1248","2633.518311"
"1249","2706.125"
"1250","2855.126465"
"1251","2688.195068"
"1252","2630.576904"
"1253","2715.092773"
"1254","2590.263184"
"1255","2517.438721"
"1256","2608.26709"
"1257","2471.518555"
"1258","2353.768799"
"1259","2372.484375"
"1260","2508.391602"
"1261","2537.891113"
"1262","2610.936768"
"1263","2367.663574"
"1264","2372.001953"
"1265","2231.733154"
"1266","2178.499023"
"1267","2246.364502"
"1268","1888.44751"
"1269","1874.950073"
"1270","1989.736328"
"1271","1988.456299"
"1272","1813.217285"
"1273","1829.239258"
"1274","1978.894653"
"1275","2079.657471"
"1276","2160.768311"
"1277","2274.547607"
"1278","2113.605469"
"1279","2150.040283"
"1280","2226.114258"
"1281","2321.724121"
